HexCode,ClosestColorName
#00CC78,DarkCyan
#D4D7D9,LightGray
#009EAA,DarkCyan
#94B3FF,SkyBlue
#515252,Gray
#00A368,Teal
#7EED56,Lime
#9C6926,Brown
#FF4500,Red
#00CCC0,Turquoise
#FFD635,Gold
#FFF8B8,Beige
#FFA800,Orange
#6D482F,Brown
#00756F,Teal
#FF99AA,Pink
#FFFFFF,White
#6A5CFF,SkyBlue
#BE0039,Maroon
#B44AC0,Purple
#E4ABFF,Lavender
#51E9F4,Turquoise
#811E9F,Purple
#2450A4,DarkBlue
#FF3881,Salmon
#000000,Black
#6D001A,DarkRed
#3690EA,SkyBlue
#DE107F,Pink
#FFB470,Salmon
#898D90,Gray
#493AC1,Indigo
